timestamp_canal,title,subscriberCount,videoCount,viewCount
2026-04-02 16:43:23,Monitor fantasma,872000,1352,107392320
2026-04-02 16:43:23,HugoX ChugoX,1070000,602,139296266
2026-04-02 16:43:23,El Robot de Platón,3030000,1312,533224009
2026-04-02 16:43:23,Dilo Nomas,764000,842,162844330
2026-04-02 16:43:23,La Historia De...,203000,42,22730662
2026-04-02 18:38:37,Monitor fantasma,872000,1352,107392320
2026-04-02 18:38:37,HugoX ChugoX,1070000,602,139296266
2026-04-02 18:38:37,El Robot de Platón,3030000,1312,533224009
2026-04-02 18:38:37,Dilo Nomas,764000,842,162844330
2026-04-02 18:38:37,La Historia De...,204000,42,22730662
2026-05-03 22:29:03,Monitor fantasma,872000,1359,107681211
2026-05-03 22:29:03,HugoX ChugoX,1070000,631,141109991
2026-05-03 22:29:03,El Robot de Platón,3040000,1324,537239848
2026-05-03 22:29:03,Dilo Nomas,767000,853,164725686
2026-05-03 22:29:03,La Historia De...,220000,44,24711311
2026-05-13 23:28:01,Monitor fantasma,872000,1360,107748210
2026-05-13 23:28:01,HugoX ChugoX,1070000,637,141405876
2026-05-13 23:28:01,El Robot de Platón,3040000,1331,538669081
2026-05-13 23:28:01,Dilo Nomas,768000,856,165375277
2026-05-13 23:28:01,La Historia De...,223000,46,25087127
2026-05-13 23:35:49,Monitor fantasma,872000,1360,107748210
2026-05-13 23:35:49,HugoX ChugoX,1070000,637,141405876
2026-05-13 23:35:49,El Robot de Platón,3040000,1331,538669081
2026-05-13 23:35:49,Dilo Nomas,768000,856,165375277
2026-05-13 23:35:49,La Historia De...,223000,46,25087127
2026-05-16 17:34:17,Monitor fantasma,872000,1360,107762557
2026-05-16 17:34:17,HugoX ChugoX,1070000,637,141536395
2026-05-16 17:34:17,El Robot de Platón,3040000,1331,539218279
2026-05-16 17:34:17,Dilo Nomas,768000,857,165581962
2026-05-16 17:34:17,La Historia De...,223000,46,25174229
2026-05-25 08:37:28,Monitor fantasma,872000,1360,107802715
2026-05-25 08:37:28,HugoX ChugoX,1070000,643,141843060
2026-05-25 08:37:28,El Robot de Platón,3040000,1336,540460278
2026-05-25 08:37:28,Dilo Nomas,769000,861,166086272
2026-05-25 08:37:28,La Historia De...,224000,45,25329260
2026-06-07 21:56:49,Monitor fantasma,872000,1361,107869164
2026-06-07 21:56:49,HugoX ChugoX,1070000,648,142174247
2026-06-07 21:56:49,El Robot de Platón,3050000,1342,542334793
2026-06-07 21:56:49,Dilo Nomas,770000,865,166770449
2026-06-07 21:56:49,La Historia De...,229000,45,25937445
2026-06-14 22:46:38,Monitor fantasma,872000,1361,107897892
2026-06-14 22:46:38,HugoX ChugoX,1070000,650,142378068
2026-06-14 22:46:38,El Robot de Platón,3050000,1346,542995497
2026-06-14 22:46:38,Dilo Nomas,771000,867,167168556
2026-06-14 22:46:38,La Historia De...,233000,45,26419162
2026-06-20 19:19:52,Monitor fantasma,872000,1361,107919228
2026-06-20 19:19:52,HugoX ChugoX,1070000,651,142476296
2026-06-20 19:19:52,El Robot de Platón,3050000,1351,543519269
2026-06-20 19:19:52,Dilo Nomas,771000,869,167468260
2026-06-20 19:19:52,La Historia De...,236000,45,26742722
2026-06-22 21:38:41,Monitor fantasma,872000,1361,107923890
2026-06-22 21:38:41,HugoX ChugoX,1070000,651,142497718
2026-06-22 21:38:41,El Robot de Platón,3050000,1352,543688201
2026-06-22 21:38:41,Dilo Nomas,771000,870,167535075
2026-06-22 21:38:41,La Historia De...,237000,45,26821420
2026-06-27 10:30:01,Monitor fantasma,872000,1361,107942721
2026-06-27 10:30:01,HugoX ChugoX,1070000,652,142583541
2026-06-27 10:30:01,El Robot de Platón,3050000,1355,544138052
2026-06-27 10:30:01,Dilo Nomas,772000,872,167778358
2026-06-27 10:30:01,La Historia De...,239000,47,27104572
2026-06-27 16:16:50,Monitor fantasma,872000,1361,107942721
2026-06-27 16:16:50,HugoX ChugoX,1070000,652,142583541
2026-06-27 16:16:50,El Robot de Platón,3050000,1355,544138052
2026-06-27 16:16:50,Dilo Nomas,772000,872,167778358
2026-06-27 16:16:50,La Historia De...,239000,47,27104572
2026-07-04 18:44:28,Monitor fantasma,872000,1361,107968808
2026-07-04 18:44:28,HugoX ChugoX,1070000,655,142681737
2026-07-04 18:44:28,El Robot de Platón,3050000,1361,546369802
2026-07-04 18:44:28,Dilo Nomas,772000,875,168058965
2026-07-04 18:44:28,La Historia De...,244000,47,27697987
2026-07-11 10:30:02,Monitor fantasma,872000,1361,107992330
2026-07-11 10:30:02,HugoX ChugoX,1070000,655,142740709
2026-07-11 10:30:02,El Robot de Platón,3060000,1365,547686019
2026-07-11 10:30:02,Dilo Nomas,773000,878,168283973
2026-07-11 10:30:02,La Historia De...,246000,47,28056863
2026-07-18 10:39:54,Monitor fantasma,872000,1362,108020913
2026-07-18 10:39:54,HugoX ChugoX,1070000,659,142859743
2026-07-18 10:39:54,El Robot de Platón,3060000,1369,549201284
2026-07-18 10:39:54,Dilo Nomas,773000,880,168631037
2026-07-18 10:39:54,La Historia De...,248000,48,28444216
2026-07-25 12:43:53,Monitor fantasma,872000,1362,108047875
2026-07-25 12:43:53,HugoX ChugoX,1070000,660,142930197
2026-07-25 12:43:53,El Robot de Platón,3070000,1373,550617761
2026-07-25 12:43:53,Dilo Nomas,774000,883,168896586
2026-07-25 12:43:53,La Historia De...,250000,50,28727163
2026-08-01 10:30:03,Monitor fantasma,872000,1362,108069201
2026-08-01 10:30:03,HugoX ChugoX,1070000,662,143125465
2026-08-01 10:30:03,El Robot de Platón,3070000,1377,551549677
2026-08-01 10:30:03,Dilo Nomas,774000,885,169253998
2026-08-01 10:30:03,La Historia De...,253000,50,29083955
2026-08-08 10:39:38,Monitor fantasma,872000,1362,108096378
2026-08-08 10:39:38,HugoX ChugoX,1070000,663,143218791
2026-08-08 10:39:38,El Robot de Platón,3070000,1381,553174574
2026-08-08 10:39:38,Dilo Nomas,775000,888,169640927
2026-08-08 10:39:38,La Historia De...,256000,50,29534556
2026-08-29 20:58:18,Monitor fantasma,872000,1363,108186429
2026-08-29 20:58:18,HugoX ChugoX,1070000,669,143917124
2026-08-29 20:58:18,El Robot de Platón,3090000,1389,558275242
2026-08-29 20:58:18,Dilo Nomas,777000,896,171042487
2026-08-29 20:58:18,La Historia De...,260000,51,30490090
2026-09-05 12:19:46,Monitor fantasma,872000,1363,108233138
2026-09-05 12:19:46,HugoX ChugoX,1070000,673,144184981
2026-09-05 12:19:46,El Robot de Platón,3090000,1392,560532873
2026-09-05 12:19:46,Dilo Nomas,777000,897,171494141
2026-09-05 12:19:46,La Historia De...,261000,51,30748411
2026-09-13 19:03:02,Monitor fantasma,872000,1363,108285248
2026-09-13 19:03:02,HugoX ChugoX,1070000,676,144631226
2026-09-13 19:03:02,El Robot de Platón,3100000,1394,563992962
2026-09-13 19:03:02,Dilo Nomas,778000,903,172053030
2026-09-13 19:03:02,La Historia De...,262000,53,31181456
2026-09-16 21:40:52,Monitor fantasma,873000,1363,108304966
2026-09-16 21:40:52,HugoX ChugoX,1070000,678,144776493
2026-09-16 21:40:52,El Robot de Platón,3100000,1395,565566321
2026-09-16 21:40:52,Dilo Nomas,778000,904,172273658
2026-09-16 21:40:52,La Historia De...,262000,53,31301630
