timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:11,Monitor fantasma,iDfFGMCfD-A,¿Qué pasa cuando la IA se apodera de tu cara?,1557,172,20,PT12M41S
2026-03-28 19:46:11,Monitor fantasma,49P4bNf2cXw,La IA como la sombra en la CAVERNA de Platón,7973,904,58,PT10M35S
2026-03-28 19:46:11,Monitor fantasma,PI10Q5zOH5Q,Odio el EMPODERAMIENTO... cuando usas el concepto así,6494,697,58,PT10M19S
2026-03-28 19:46:11,Monitor fantasma,u2p4FvNcBYY,La década perdida de América Latina,7129,632,69,PT11M35S
2026-03-28 19:46:11,Monitor fantasma,96yvcJspSAY,El PUNTO de DIOS explicado,7595,850,61,PT10M
2026-03-28 19:46:11,Monitor fantasma,1K9aTbPe8nc,¿Si tu profe es tan INTELIGENTE por qué es POBRE?,25180,2140,195,PT9M42S
2026-03-28 19:46:11,Monitor fantasma,2O93GjvM7G8,La generación que renunció a la calle,17372,1477,175,PT11M25S
2026-03-28 19:46:11,Monitor fantasma,6ewlC0VI-bI,"Objetividad, imparcialidad y neutralidad",12424,1361,136,PT11M33S
2026-03-28 19:46:11,Monitor fantasma,Oo6L9GjrzF4,"Tecnooptimismo, el metaverso y otras ilusiones rotas",8752,795,62,PT12M55S
2026-03-28 19:46:11,Monitor fantasma,ZBBcpbIEL-A,"Validar la guerra en Irán, la captura de Maduro y el bloqueo a Cuba",9062,1007,157,PT10M22S
2026-03-28 19:46:11,Monitor fantasma,feEsK5X_IW0,"Millennials, la generación de las experiencias sin propósito",42834,2989,410,PT11M34S
2026-03-28 19:46:11,Monitor fantasma,fYv9izCmXmA,¿Cuál es el idioma más inteligente del mundo?,46935,2371,579,PT10M33S
2026-03-28 19:46:11,Monitor fantasma,94u11lpDe8o,Esta es la metáfora de la sociedad presente,16398,1694,108,PT10M51S
2026-03-28 19:46:11,Monitor fantasma,mKxlIOqyAiI,La ESTUPIDEZ es más peligrosa que la MALDAD | Dietrich Bonhoeffer,8243,821,52,PT10M18S
2026-03-28 19:46:11,Monitor fantasma,c8k_ZNBs7sc,Más perros que hijos: La crisis que se viene,19782,1587,352,PT14M16S
2026-03-28 19:46:11,Monitor fantasma,HcKWn32vRIM,"Los Therians y Lacan: Lo imaginario, lo simbólico y lo real",51784,3517,404,PT11M31S
2026-03-28 19:46:11,Monitor fantasma,tQYuWYU3LLc,"El teletrabajo era GENIAL, pero lo arruinamos",10569,842,121,PT10M9S
2026-03-28 19:46:11,Monitor fantasma,Uxv90HRnUWI,Somos un pueblo al sur de Estados Unidos,40282,3282,718,PT12M44S
